system:time_start,SoilMoi00_10cm_tavg
"Jul 1, 2010",0.381
"Aug 1, 2010",0.351
"Sep 1, 2010",0.357
"Oct 1, 2010",0.367
"Nov 1, 2010",0.405
"Dec 1, 2010",0.398
"Jan 1, 2011",0.361
"Feb 1, 2011",0.37
"Mar 1, 2011",0.39
"Apr 1, 2011",0.406
"May 1, 2011",0.415
"Jun 1, 2011",0.392
"Jul 1, 2011",0.362
"Aug 1, 2011",0.349
"Sep 1, 2011",0.343
"Oct 1, 2011",0.384
"Nov 1, 2011",0.404
"Dec 1, 2011",0.398
"Jan 1, 2012",0.373
"Feb 1, 2012",0.356
"Mar 1, 2012",0.363
"Apr 1, 2012",0.4
"May 1, 2012",0.4
"Jun 1, 2012",0.367
"Jul 1, 2012",0.346
"Aug 1, 2012",0.34
"Sep 1, 2012",0.304
"Oct 1, 2012",0.365
"Nov 1, 2012",0.36
"Dec 1, 2012",0.337
"Jan 1, 2013",0.3
"Feb 1, 2013",0.323
"Mar 1, 2013",0.333
"Apr 1, 2013",0.348
"May 1, 2013",0.385
"Jun 1, 2013",0.355
"Jul 1, 2013",0.336
"Aug 1, 2013",0.328
"Sep 1, 2013",0.323
"Oct 1, 2013",0.34
"Nov 1, 2013",0.377
"Dec 1, 2013",0.375
"Jan 1, 2014",0.347
"Feb 1, 2014",0.335
"Mar 1, 2014",0.372
"Apr 1, 2014",0.361
"May 1, 2014",0.384
"Jun 1, 2014",0.36
"Jul 1, 2014",0.322
"Aug 1, 2014",0.294
"Sep 1, 2014",0.314
"Oct 1, 2014",0.335
"Nov 1, 2014",0.37
"Dec 1, 2014",0.355
"Jan 1, 2015",0.319
"Feb 1, 2015",0.326
"Mar 1, 2015",0.33
"Apr 1, 2015",0.371
"May 1, 2015",0.345
"Jun 1, 2015",0.321
"Jul 1, 2015",0.283
"Aug 1, 2015",0.291
"Sep 1, 2015",0.301
"Oct 1, 2015",0.321
"Nov 1, 2015",0.339
"Dec 1, 2015",0.291
"Jan 1, 2016",0.272
"Feb 1, 2016",0.267
"Mar 1, 2016",0.301
"Apr 1, 2016",0.345
"May 1, 2016",0.352
"Jun 1, 2016",0.336
"Jul 1, 2016",0.325
"Aug 1, 2016",0.3
"Sep 1, 2016",0.323
"Oct 1, 2016",0.356
"Nov 1, 2016",0.371
"Dec 1, 2016",0.364
"Jan 1, 2017",0.352
"Feb 1, 2017",0.32
"Mar 1, 2017",0.366
"Apr 1, 2017",0.374
"May 1, 2017",0.389
"Jun 1, 2017",0.381
"Jul 1, 2017",0.349
"Aug 1, 2017",0.334
"Sep 1, 2017",0.322
"Oct 1, 2017",0.353
"Nov 1, 2017",0.382
"Dec 1, 2017",0.351
"Jan 1, 2018",0.344
"Feb 1, 2018",0.325
"Mar 1, 2018",0.314
"Apr 1, 2018",0.383
"May 1, 2018",0.388
"Jun 1, 2018",0.369
"Jul 1, 2018",0.348
"Aug 1, 2018",0.325
"Sep 1, 2018",0.325
"Oct 1, 2018",0.368
"Nov 1, 2018",0.374
"Dec 1, 2018",0.335
"Jan 1, 2019",0.295
"Feb 1, 2019",0.306
"Mar 1, 2019",0.342
"Apr 1, 2019",0.367
"May 1, 2019",0.361
"Jun 1, 2019",0.36
"Jul 1, 2019",0.329
"Aug 1, 2019",0.299
"Sep 1, 2019",0.312
"Oct 1, 2019",0.35
"Nov 1, 2019",0.358
"Dec 1, 2019",0.344
"Jan 1, 2020",0.309
"Feb 1, 2020",0.285
"Mar 1, 2020",0.336
"Apr 1, 2020",0.332
"May 1, 2020",0.33
"Jun 1, 2020",0.346
"Jul 1, 2020",0.34
"Aug 1, 2020",0.323
"Sep 1, 2020",0.335
"Oct 1, 2020",0.31
"Nov 1, 2020",0.372
"Dec 1, 2020",0.336
"Jan 1, 2021",0.316
"Feb 1, 2021",0.311
"Mar 1, 2021",0.345
"Apr 1, 2021",0.367
"May 1, 2021",0.379
"Jun 1, 2021",0.38
"Jul 1, 2021",0.349
"Aug 1, 2021",0.337
"Sep 1, 2021",0.33
"Oct 1, 2021",0.355
"Nov 1, 2021",0.363
"Dec 1, 2021",0.345
"Jan 1, 2022",0.319
"Feb 1, 2022",0.332
"Mar 1, 2022",0.359
"Apr 1, 2022",0.373
"May 1, 2022",0.393
"Jun 1, 2022",0.396
"Jul 1, 2022",0.373
"Aug 1, 2022",0.367
"Sep 1, 2022",0.351
"Oct 1, 2022",0.39
"Nov 1, 2022",0.404
"Dec 1, 2022",0.38
"Jan 1, 2023",0.374
"Feb 1, 2023",0.351
"Mar 1, 2023",0.388
"Apr 1, 2023",0.409
"May 1, 2023",0.406
"Jun 1, 2023",0.389
"Jul 1, 2023",0.359
"Aug 1, 2023",0.337
"Sep 1, 2023",0.315
"Oct 1, 2023",0.342
"Nov 1, 2023",0.356
"Dec 1, 2023",0.322
"Jan 1, 2024",0.282
"Feb 1, 2024",0.292
"Mar 1, 2024",0.289
"Apr 1, 2024",0.328
"May 1, 2024",0.364
"Jun 1, 2024",0.356
